Date,Open,High,Low,Close,Adj Close,Volume
2010-03-25,118.059998,118.489998,116.900002,117.010002,93.915657,3310100
2010-03-26,117.269997,117.809998,116.519997,117.059998,93.955757,3894900
2010-03-29,117.559998,117.919998,117.360001,117.709999,94.477470,2675000
2010-03-30,117.860001,118.190002,117.290001,117.769997,94.525620,3573400
2010-03-31,117.309998,117.900002,117.000000,117.339996,94.180519,4777300
2010-04-01,118.190002,118.639999,117.489998,118.209999,94.878799,5210100
2010-04-05,118.629997,119.220001,118.300003,119.160004,95.641304,1772300
2010-04-06,118.839996,119.639999,118.680000,119.389999,95.825882,2441600
2010-04-07,119.190002,119.459999,118.199997,118.760002,95.320274,3782100
2010-04-08,118.349998,119.360001,117.980003,119.120003,95.609192,3425300
2010-04-09,119.410004,119.980003,119.190002,119.900002,96.235252,2329200
2010-04-12,120.099998,120.410004,119.949997,120.129997,96.419838,1908400
2010-04-13,119.989998,120.410004,119.379997,120.239998,96.508141,1993200
2010-04-14,120.669998,121.580002,120.470001,121.550003,97.559586,2408800
2010-04-15,121.360001,121.910004,121.339996,121.680000,97.663910,3184800
2010-04-16,121.269997,121.459999,119.150002,119.790001,96.146957,7590600
2010-04-19,119.389999,120.320000,118.870003,120.190002,96.468002,3596300
2010-04-20,120.959999,121.370003,120.559998,121.279999,97.342857,2823600
2010-04-21,121.339996,121.610001,120.400002,121.059998,97.166313,2036100
2010-04-22,120.239998,121.559998,119.519997,121.370003,97.415115,3287100
2010-04-23,121.349998,122.250000,121.029999,122.139999,98.033134,3115000
2010-04-26,122.260002,122.500000,121.639999,121.720001,97.696014,3472000
2010-04-27,121.040001,121.660004,118.639999,118.870003,95.408516,6070400
2010-04-28,119.430000,120.050003,118.669998,119.760002,96.122856,5363700
2010-04-29,120.510002,121.500000,120.470001,121.230003,97.302734,2827600
2010-04-30,121.260002,121.389999,119.160004,119.239998,95.705505,4593400
2010-05-03,119.750000,121.070000,119.589996,120.760002,96.925476,2363900
2010-05-04,119.419998,119.419998,117.309998,117.959999,94.678131,4660500
2010-05-05,116.919998,118.169998,116.360001,117.230003,94.092232,5541300
2010-05-06,116.639999,117.489998,88.419998,113.199997,90.857635,12125800
2010-05-07,113.010002,114.120003,109.949997,111.459999,89.461067,12142400
2010-05-10,116.190002,117.000000,115.269997,116.510002,93.514328,7195600
2010-05-11,115.459999,117.730003,115.290001,116.160004,93.233414,6734100
2010-05-12,116.650002,117.970001,116.459999,117.769997,94.525620,5827700
2010-05-13,117.570000,118.050003,116.260002,116.370003,93.401978,3941400
2010-05-14,115.510002,115.690002,113.230003,114.279999,91.724457,6168500
2010-05-17,114.550003,114.870003,112.120003,114.290001,91.732491,4635200
2010-05-18,115.230003,115.580002,112.389999,112.800003,90.536568,5419300
2010-05-19,112.150002,113.120003,110.730003,112.139999,90.006828,4918800
2010-05-20,109.769997,110.220001,107.809998,107.930000,86.627769,8731100
2010-05-21,106.220001,109.709999,105.970001,109.400002,87.807632,6764000
2010-05-24,108.839996,109.720001,107.970001,108.070000,86.740150,4727600
2010-05-25,105.440002,108.199997,104.739998,108.160004,86.812363,6088900
2010-05-26,108.860001,109.809998,107.180000,107.459999,86.250542,5289800
2010-05-27,109.570000,111.150002,109.160004,111.120003,89.188171,7155800
2010-05-28,111.019997,111.019997,109.209999,109.699997,88.048401,6114900
2010-06-01,108.709999,110.279999,107.699997,107.839996,86.555534,6986000
2010-06-02,108.430000,110.690002,107.959999,110.660004,88.818947,4937500
2010-06-03,111.029999,111.389999,109.949997,111.040001,89.123932,4169900
2010-06-04,108.949997,109.650002,106.800003,107.139999,85.993698,6229300
2010-06-07,107.550003,107.919998,105.720001,105.849998,84.958298,4352600
2010-06-08,105.900002,107.160004,104.970001,106.860001,85.768974,7094800
2010-06-09,107.580002,108.589996,106.000000,106.320000,85.335533,8649800
2010-06-10,108.209999,109.629997,108.029999,109.550003,87.928047,6638800
